"filename", "language", "Dart", "comment", "blank", "total"
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/app_data.dart", "Dart", 0, 0, 1, 1
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/main.dart", "Dart", 48, 1, 6, 55
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/modal/SpaceRoles.dart", "Dart", 1, 0, 1, 2
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/modal/notification.dart", "Dart", 18, 0, 4, 22
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/modal/spaceTypes.dart", "Dart", 1, 0, 1, 2
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/pages/discovery.dart", "Dart", 297, 4, 16, 317
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/pages/editUserProfile.dart", "Dart", 135, 18, 10, 163
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/pages/feed.dart", "Dart", 46, 0, 7, 53
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/pages/flash.dart", "Dart", 10, 0, 2, 12
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/pages/gallery.dart", "Dart", 182, 1, 10, 193
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/pages/houseMarket.dart", "Dart", 171, 6, 12, 189
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/pages/initUser.dart", "Dart", 231, 0, 13, 244
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/pages/login.dart", "Dart", 230, 3, 13, 246
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/pages/login/handleLogin.dart", "Dart", 32, 0, 4, 36
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/pages/notifications.dart", "Dart", 123, 2, 9, 134
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/pages/recorder.dart", "Dart", 376, 10, 35, 421
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/pages/replies.dart", "Dart", 55, 4, 6, 65
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/pages/requests.dart", "Dart", 165, 0, 11, 176
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/pages/spaces/CollapsingList.dart", "Dart", 231, 6, 8, 245
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/pages/spaces/addSpacesMembers.dart", "Dart", 166, 25, 19, 210
